#     x             y        x_tangent     y_tangent     x_normal      y_normal
+4.57639E-01  -2.33143E-01  +9.55701E-01  +2.94339E-01  -2.94339E-01  +9.55701E-01
+4.60770E-01  -2.32159E-01  +9.52259E-01  +3.05292E-01  -3.05292E-01  +9.52259E-01
+4.63903E-01  -2.31135E-01  +9.48709E-01  +3.16152E-01  -3.16152E-01  +9.48709E-01
+4.67037E-01  -2.30070E-01  +9.45054E-01  +3.26913E-01  -3.26913E-01  +9.45054E-01
+4.70173E-01  -2.28966E-01  +9.41300E-01  +3.37572E-01  -3.37572E-01  +9.41300E-01
+4.73309E-01  -2.27821E-01  +9.37447E-01  +3.48127E-01  -3.48127E-01  +9.37447E-01
+4.76447E-01  -2.26636E-01  +9.33502E-01  +3.58573E-01  -3.58573E-01  +9.33502E-01
+4.79585E-01  -2.25410E-01  +9.29466E-01  +3.68907E-01  -3.68907E-01  +9.29466E-01
+4.82725E-01  -2.24144E-01  +9.25344E-01  +3.79127E-01  -3.79127E-01  +9.25344E-01
+4.85865E-01  -2.22837E-01  +9.21140E-01  +3.89231E-01  -3.89231E-01  +9.21140E-01
+4.89005E-01  -2.21490E-01  +9.16857E-01  +3.99215E-01  -3.99215E-01  +9.16857E-01
+4.92146E-01  -2.20102E-01  +9.12499E-01  +4.09078E-01  -4.09078E-01  +9.12499E-01
+4.95288E-01  -2.18674E-01  +9.08070E-01  +4.18817E-01  -4.18817E-01  +9.08070E-01
+4.98429E-01  -2.17204E-01  +9.03574E-01  +4.28432E-01  -4.28432E-01  +9.03574E-01
+5.01571E-01  -2.15695E-01  +8.99014E-01  +4.37919E-01  -4.37919E-01  +8.99014E-01
+5.04712E-01  -2.14144E-01  +8.94395E-01  +4.47278E-01  -4.47278E-01  +8.94395E-01
+5.07854E-01  -2.12552E-01  +8.89720E-01  +4.56507E-01  -4.56507E-01  +8.89720E-01
+5.10995E-01  -2.10920E-01  +8.84992E-01  +4.65606E-01  -4.65606E-01  +8.84992E-01
+5.14135E-01  -2.09248E-01  +8.80216E-01  +4.74573E-01  -4.74573E-01  +8.80216E-01
